layer1
0.161
layer2
0.161
layer3
0.161
layer4
0.161
layer5
0.161
layer6
0.161
layer7
0.161
layer8
0.161
layer12
0.145
layer8
0.161
layer9
0.161
layer10
0.141
layer11
0.174
layer12
0.161
layer13
0.161
layer14
0.161
layer15
0.161
layer16
0.164
layer17
0.175
layer18
0.165
layer19
0.193
layer20
0.193
layer21
0.179
layer22
0.201
layer23
0.217
layer24
0.249
