vison_layer,R1,R5,R10
1,0.006472491909385114,0.032362459546925564,0.05501618122977346
vison_layer,R1,R5,R10
1,0.006472491909385114,0.032362459546925564,0.05501618122977346
vison_layer,R1,R5,R10
2,0.009708737864077669,0.038834951456310676,0.05501618122977346
vison_layer,R1,R5,R10
3,0.012944983818770227,0.02912621359223301,0.06472491909385113
vison_layer,R1,R5,R10
4,0.009708737864077669,0.038834951456310676,0.05501618122977346
vison_layer,R1,R5,R10
5,0.006472491909385114,0.02912621359223301,0.042071197411003236
vison_layer,R1,R5,R10
6,0.003236245954692557,0.02912621359223301,0.06472491909385113
vison_layer,R1,R5,R10
8,0.006472491909385114,0.045307443365695796,0.0970873786407767
vison_layer,R1,R5,R10
7,0.0,0.038834951456310676,0.09061488673139159
vison_layer,R1,R5,R10
10,0.006472491909385114,0.05501618122977346,0.09385113268608414
vison_layer,R1,R5,R10
9,0.003236245954692557,0.05501618122977346,0.08737864077669903
vison_layer,R1,R5,R10
11,0.006472491909385114,0.05177993527508091,0.09061488673139159
vison_layer,R1,R5,R10
12,0.0,0.02912621359223301,0.061488673139158574
vison_layer,R1,R5,R10
13,0.003236245954692557,0.025889967637540454,0.06472491909385113
vison_layer,R1,R5,R10
14,0.0,0.022653721682847898,0.05177993527508091
vison_layer,R1,R5,R10
15,0.003236245954692557,0.02912621359223301,0.05825242718446602
vison_layer,R1,R5,R10
17,0.006472491909385114,0.03559870550161812,0.07119741100323625
vison_layer,R1,R5,R10
18,0.003236245954692557,0.032362459546925564,0.06472491909385113
vison_layer,R1,R5,R10
16,0.0,0.02912621359223301,0.05501618122977346
vison_layer,R1,R5,R10
19,0.009708737864077669,0.03559870550161812,0.08090614886731391
vison_layer,R1,R5,R10
20,0.006472491909385114,0.025889967637540454,0.06472491909385113
vison_layer,R1,R5,R10
21,0.006472491909385114,0.03559870550161812,0.061488673139158574
vison_layer,R1,R5,R10
22,0.012944983818770227,0.045307443365695796,0.12297734627831715
vison_layer,R1,R5,R10
24,0.032362459546925564,0.10032362459546926,0.18122977346278318
vison_layer,R1,R5,R10
23,0.012944983818770227,0.05177993527508091,0.0970873786407767
vison_layer,R1,R5,R10
25,0.03559870550161812,0.13915857605177995,0.21359223300970873
vison_layer,R1,R5,R10
26,0.05825242718446602,0.21359223300970873,0.313915857605178
vison_layer,R1,R5,R10
27,0.08737864077669903,0.2524271844660194,0.3851132686084142
vison_layer,R1,R5,R10
29,0.07119741100323625,0.20064724919093851,0.29449838187702265
vison_layer,R1,R5,R10
30,0.1488673139158576,0.3656957928802589,0.46601941747572817
vison_layer,R1,R5,R10
28,0.0744336569579288,0.1779935275080906,0.2977346278317152
vison_layer,R1,R5,R10
31,0.284789644012945,0.5566343042071198,0.6601941747572816
vison_layer,R1,R5,R10
32,0.42394822006472493,0.6375404530744336,0.7216828478964401
vison_layer,R1,R5,R10
4,0.009708737864077669,0.038834951456310676,0.05501618122977346
vison_layer,R1,R5,R10
5,0.006472491909385114,0.02912621359223301,0.042071197411003236
vison_layer,R1,R5,R10
2,0.009708737864077669,0.038834951456310676,0.05501618122977346
vison_layer,R1,R5,R10
3,0.012944983818770227,0.02912621359223301,0.06472491909385113
vison_layer,R1,R5,R10
1,0.006472491909385114,0.032362459546925564,0.05501618122977346
vison_layer,R1,R5,R10
6,0.003236245954692557,0.02912621359223301,0.06472491909385113
vison_layer,R1,R5,R10
9,0.003236245954692557,0.05501618122977346,0.08737864077669903
vison_layer,R1,R5,R10
10,0.006472491909385114,0.05501618122977346,0.09385113268608414
vison_layer,R1,R5,R10
8,0.006472491909385114,0.045307443365695796,0.0970873786407767
vison_layer,R1,R5,R10
7,0.0,0.038834951456310676,0.09061488673139159
vison_layer,R1,R5,R10
11,0.006472491909385114,0.05177993527508091,0.09061488673139159
vison_layer,R1,R5,R10
12,0.0,0.02912621359223301,0.061488673139158574
vison_layer,R1,R5,R10
13,0.003236245954692557,0.025889967637540454,0.06472491909385113
vison_layer,R1,R5,R10
14,0.0,0.022653721682847898,0.05177993527508091
vison_layer,R1,R5,R10
15,0.003236245954692557,0.02912621359223301,0.05825242718446602
vison_layer,R1,R5,R10
18,0.003236245954692557,0.032362459546925564,0.06472491909385113
vison_layer,R1,R5,R10
16,0.0,0.02912621359223301,0.05501618122977346
vison_layer,R1,R5,R10
17,0.006472491909385114,0.03559870550161812,0.07119741100323625
vison_layer,R1,R5,R10
20,0.006472491909385114,0.025889967637540454,0.06472491909385113
vison_layer,R1,R5,R10
19,0.009708737864077669,0.03559870550161812,0.08090614886731391
vison_layer,R1,R5,R10
25,0.03559870550161812,0.13915857605177995,0.21359223300970873
vison_layer,R1,R5,R10
24,0.032362459546925564,0.10032362459546926,0.18122977346278318
vison_layer,R1,R5,R10
21,0.006472491909385114,0.03559870550161812,0.061488673139158574
vison_layer,R1,R5,R10
22,0.012944983818770227,0.045307443365695796,0.12297734627831715
vison_layer,R1,R5,R10
23,0.012944983818770227,0.05177993527508091,0.0970873786407767
vison_layer,R1,R5,R10
30,0.1488673139158576,0.3656957928802589,0.46601941747572817
vison_layer,R1,R5,R10
28,0.0744336569579288,0.1779935275080906,0.2977346278317152
vison_layer,R1,R5,R10
29,0.07119741100323625,0.20064724919093851,0.29449838187702265
vison_layer,R1,R5,R10
27,0.08737864077669903,0.2524271844660194,0.3851132686084142
vison_layer,R1,R5,R10
26,0.05825242718446602,0.21359223300970873,0.313915857605178
vison_layer,R1,R5,R10
31,0.284789644012945,0.5566343042071198,0.6601941747572816
vison_layer,R1,R5,R10
32,0.42394822006472493,0.6375404530744336,0.7216828478964401
