30,0.8827098078867543,0.12698412698412698,0.14925373134328357,0.49206349206349204,0.6507936507936508,0.8307692307692308,0.8823529411764706,0.9454545454545454,0.9615384615384616,0.9056603773584906,0.971830985915493,0.9552238805970149,0.9821428571428571,0.9206349206349206,0.9107142857142857,0.9861111111111112,1.0,0.9838709677419355,1.0,1.0,0.9848484848484849,0.9830508474576272,0.9836065573770492,0.9836065573770492,0.9516129032258065,1.0,0.984375,1.0,1.0,1.0,0.9791666666666666,0.9361702127659575,0.8813559322033898
30,0.8827098078867543,"tensor(7.0476, device='cuda:0')","tensor(7.4328, device='cuda:0')","tensor(10.5079, device='cuda:0')","tensor(11.3333, device='cuda:0')","tensor(14.2308, device='cuda:0')","tensor(17.2941, device='cuda:0')","tensor(14.5818, device='cuda:0')","tensor(13.3077, device='cuda:0')","tensor(13.7925, device='cuda:0')","tensor(15.0986, device='cuda:0')","tensor(13.1343, device='cuda:0')","tensor(14.0893, device='cuda:0')","tensor(11.9524, device='cuda:0')","tensor(15.0179, device='cuda:0')","tensor(14.6528, device='cuda:0')","tensor(14.5286, device='cuda:0')","tensor(13.8065, device='cuda:0')","tensor(14.3667, device='cuda:0')","tensor(12.3276, device='cuda:0')","tensor(16.0152, device='cuda:0')","tensor(14.8136, device='cuda:0')","tensor(14.8689, device='cuda:0')","tensor(13.5738, device='cuda:0')","tensor(12.9032, device='cuda:0')","tensor(13.0986, device='cuda:0')","tensor(13.1562, device='cuda:0')","tensor(15.9836, device='cuda:0')","tensor(12.6761, device='cuda:0')","tensor(15.0938, device='cuda:0')","tensor(15.0625, device='cuda:0')","tensor(15.0851, device='cuda:0')","tensor(14.1017, device='cuda:0')"
S,error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27,layer28,layer29,layer30,layer31,layer32
5,0.8998988877654196,0.23809523809523808,0.4626865671641791,0.49206349206349204,0.7142857142857143,0.8615384615384616,0.8382352941176471,0.9818181818181818,0.9615384615384616,0.9245283018867925,0.9859154929577465,0.9701492537313433,0.9821428571428571,0.9523809523809523,0.9642857142857143,0.9861111111111112,1.0,0.9354838709677419,0.9666666666666667,0.9827586206896551,0.9848484848484849,0.9830508474576272,0.9672131147540983,0.9836065573770492,0.9838709677419355,1.0,0.984375,1.0,1.0,0.984375,0.9583333333333334,0.9787234042553191,0.847457627118644
5,0.8998988877654196,"tensor(24.0000, device='cuda:0')","tensor(25.7313, device='cuda:0')","tensor(25.4921, device='cuda:0')","tensor(25.3333, device='cuda:0')","tensor(26.6000, device='cuda:0')","tensor(27.7500, device='cuda:0')","tensor(26.1636, device='cuda:0')","tensor(25.1346, device='cuda:0')","tensor(24.2453, device='cuda:0')","tensor(26., device='cuda:0')","tensor(26.0597, device='cuda:0')","tensor(23.7857, device='cuda:0')","tensor(22.6190, device='cuda:0')","tensor(24.7679, device='cuda:0')","tensor(25.0833, device='cuda:0')","tensor(23.9429, device='cuda:0')","tensor(25., device='cuda:0')","tensor(25.7833, device='cuda:0')","tensor(22.9310, device='cuda:0')","tensor(26.8333, device='cuda:0')","tensor(25.4068, device='cuda:0')","tensor(24.0984, device='cuda:0')","tensor(24.0656, device='cuda:0')","tensor(25.1774, device='cuda:0')","tensor(25.3521, device='cuda:0')","tensor(23.1094, device='cuda:0')","tensor(26.0000, device='cuda:0')","tensor(24.9718, device='cuda:0')","tensor(25.3281, device='cuda:0')","tensor(24.8125, device='cuda:0')","tensor(24.2128, device='cuda:0')","tensor(25.8814, device='cuda:0')"
S,error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27,layer28,layer29,layer30,layer31,layer32
40,0.8933265925176946,0.12698412698412698,0.2835820895522388,0.5238095238095238,0.6507936507936508,0.8615384615384616,0.8823529411764706,0.9636363636363636,0.9038461538461539,0.9622641509433962,0.971830985915493,0.9850746268656716,0.9821428571428571,0.9682539682539683,0.9464285714285714,0.9861111111111112,1.0,1.0,1.0,1.0,0.9696969696969697,0.9830508474576272,0.9508196721311475,1.0,0.967741935483871,1.0,0.984375,0.9672131147540983,0.9859154929577465,1.0,0.9791666666666666,0.9787234042553191,0.8983050847457628
40,0.8933265925176946,"tensor(8.6032, device='cuda:0')","tensor(7., device='cuda:0')","tensor(9.2222, device='cuda:0')","tensor(10.3492, device='cuda:0')","tensor(10.2462, device='cuda:0')","tensor(14.2941, device='cuda:0')","tensor(12.0545, device='cuda:0')","tensor(11.6538, device='cuda:0')","tensor(11.7925, device='cuda:0')","tensor(12.7324, device='cuda:0')","tensor(12.0299, device='cuda:0')","tensor(11.1071, device='cuda:0')","tensor(10.1746, device='cuda:0')","tensor(11.3571, device='cuda:0')","tensor(12.9028, device='cuda:0')","tensor(12.8714, device='cuda:0')","tensor(11.1452, device='cuda:0')","tensor(13.0167, device='cuda:0')","tensor(10.7759, device='cuda:0')","tensor(11.8485, device='cuda:0')","tensor(11.5593, device='cuda:0')","tensor(11.2623, device='cuda:0')","tensor(12.0656, device='cuda:0')","tensor(10.4032, device='cuda:0')","tensor(11.0563, device='cuda:0')","tensor(11.6875, device='cuda:0')","tensor(13.4262, device='cuda:0')","tensor(10.5775, device='cuda:0')","tensor(11.6250, device='cuda:0')","tensor(13.1875, device='cuda:0')","tensor(13.3617, device='cuda:0')","tensor(11.6610, device='cuda:0')"
S,error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27,layer28,layer29,layer30,layer31,layer32
10,0.8756319514661274,0.2698412698412698,0.2537313432835821,0.4126984126984127,0.5714285714285714,0.8307692307692308,0.8529411764705882,0.8909090909090909,0.9038461538461539,0.9622641509433962,0.9436619718309859,1.0,0.9464285714285714,0.9841269841269841,0.9464285714285714,0.9166666666666666,0.9857142857142858,0.967741935483871,1.0,1.0,0.9848484848484849,0.9661016949152542,0.9672131147540983,0.9672131147540983,0.967741935483871,1.0,1.0,0.9672131147540983,1.0,0.921875,0.9375,0.9361702127659575,0.8305084745762712
