5,0.9944388270980788,1.0,0.9850746268656716,1.0,1.0,0.9846153846153847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9821428571428571,0.9861111111111112,1.0,1.0,1.0,1.0,0.9696969696969697,0.9830508474576272,0.9836065573770492,1.0,0.9838709677419355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9661016949152542
5,0.9944388270980788,"tensor(20.0159, device='cuda:0')","tensor(18.9851, device='cuda:0')","tensor(19.9048, device='cuda:0')","tensor(20.5556, device='cuda:0')","tensor(19.2769, device='cuda:0')","tensor(21.4559, device='cuda:0')","tensor(20.7818, device='cuda:0')","tensor(18.8077, device='cuda:0')","tensor(18.3585, device='cuda:0')","tensor(20.8169, device='cuda:0')","tensor(19.1791, device='cuda:0')","tensor(19.5000, device='cuda:0')","tensor(17.3810, device='cuda:0')","tensor(20.4107, device='cuda:0')","tensor(20.5000, device='cuda:0')","tensor(19.3857, device='cuda:0')","tensor(18.0161, device='cuda:0')","tensor(19.1333, device='cuda:0')","tensor(18.8621, device='cuda:0')","tensor(20.4091, device='cuda:0')","tensor(20.1186, device='cuda:0')","tensor(20.5738, device='cuda:0')","tensor(20.3443, device='cuda:0')","tensor(18.6935, device='cuda:0')","tensor(19.1268, device='cuda:0')","tensor(18.5000, device='cuda:0')","tensor(21.6393, device='cuda:0')","tensor(20.3662, device='cuda:0')","tensor(19.4688, device='cuda:0')","tensor(19.3125, device='cuda:0')","tensor(20.4468, device='cuda:0')","tensor(20.0339, device='cuda:0')"
S,error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27,layer28,layer29,layer30,layer31,layer32
10,0.9964610717896866,1.0,0.9850746268656716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,0.9848484848484849,0.9830508474576272,0.9836065573770492,1.0,0.9838709677419355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9830508474576272
10,0.9964610717896866,"tensor(17.8730, device='cuda:0')","tensor(16.6567, device='cuda:0')","tensor(16.5873, device='cuda:0')","tensor(18.5079, device='cuda:0')","tensor(17.1077, device='cuda:0')","tensor(18.2059, device='cuda:0')","tensor(18.3091, device='cuda:0')","tensor(16.8654, device='cuda:0')","tensor(15.5283, device='cuda:0')","tensor(18.6056, device='cuda:0')","tensor(16.2388, device='cuda:0')","tensor(18.2500, device='cuda:0')","tensor(14.6190, device='cuda:0')","tensor(18.1429, device='cuda:0')","tensor(17.3056, device='cuda:0')","tensor(16.8286, device='cuda:0')","tensor(14.8871, device='cuda:0')","tensor(17.0833, device='cuda:0')","tensor(16.2414, device='cuda:0')","tensor(18.6970, device='cuda:0')","tensor(18.1525, device='cuda:0')","tensor(18.7377, device='cuda:0')","tensor(17.6721, device='cuda:0')","tensor(14.9516, device='cuda:0')","tensor(17.3099, device='cuda:0')","tensor(16.2656, device='cuda:0')","tensor(18.3770, device='cuda:0')","tensor(18.7465, device='cuda:0')","tensor(16.7344, device='cuda:0')","tensor(16.8958, device='cuda:0')","tensor(18.9787, device='cuda:0')","tensor(17.9153, device='cuda:0')"
S,error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27,layer28,layer29,layer30,layer31,layer32
20,0.9964610717896866,1.0,0.9850746268656716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,0.9848484848484849,0.9830508474576272,0.9836065573770492,1.0,0.9838709677419355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9830508474576272
20,0.9964610717896866,"tensor(15.1746, device='cuda:0')","tensor(13.6716, device='cuda:0')","tensor(13.9683, device='cuda:0')","tensor(14.7619, device='cuda:0')","tensor(13.6923, device='cuda:0')","tensor(15.5882, device='cuda:0')","tensor(13.7818, device='cuda:0')","tensor(13.6731, device='cuda:0')","tensor(12.9434, device='cuda:0')","tensor(15.4225, device='cuda:0')","tensor(14.1194, device='cuda:0')","tensor(16.2321, device='cuda:0')","tensor(11.1905, device='cuda:0')","tensor(14.2321, device='cuda:0')","tensor(14.0833, device='cuda:0')","tensor(14.0857, device='cuda:0')","tensor(11.6129, device='cuda:0')","tensor(14.1167, device='cuda:0')","tensor(11.8621, device='cuda:0')","tensor(16.2727, device='cuda:0')","tensor(15.6102, device='cuda:0')","tensor(15.1639, device='cuda:0')","tensor(14.3443, device='cuda:0')","tensor(11.9516, device='cuda:0')","tensor(14.4789, device='cuda:0')","tensor(13.8594, device='cuda:0')","tensor(15.2459, device='cuda:0')","tensor(13.8169, device='cuda:0')","tensor(14.1094, device='cuda:0')","tensor(14.3750, device='cuda:0')","tensor(16.7660, device='cuda:0')","tensor(14.6949, device='cuda:0')"
S,error_bar,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27,layer28,layer29,layer30,layer31,layer32
10,0.9964610717896866,1.0,0.9850746268656716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,1.0,1.0,0.9848484848484849,0.9830508474576272,0.9836065573770492,1.0,0.9838709677419355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9830508474576272
