dynamic,10,8,20,"tensor(22.7832, device='cuda:0')",0.07119741100323625,0.13915857605177995,0.33980582524271846,0.4174757281553398,0.45307443365695793,0.4886731391585761,0.5210355987055016,0.5372168284789643,0.5760517799352751,0.6019417475728155,0.6213592233009708,0.6440129449838188,0.656957928802589
total,10,8,20,"tensor(22.7832, device='cuda:0')",0.26537216828478966,0.3300970873786408,0.39805825242718446,0.42071197411003236,0.45307443365695793
dynamic,1,8,10,"tensor(29.6537, device='cuda:0')",0.23948220064724918,0.343042071197411,0.46601941747572817,0.5598705501618123,0.6051779935275081,0.6407766990291263,0.6601941747572816,0.686084142394822,0.7055016181229773,0.7152103559870551,0.7216828478964401,0.7378640776699029,0.7508090614886731
dynamic,1,8,2,"tensor(29.6537, device='cuda:0')",0.23948220064724918,0.343042071197411,0.46601941747572817,0.5598705501618123,0.6051779935275081,0.6407766990291263,0.6601941747572816,0.686084142394822,0.7055016181229773,0.7152103559870551,0.7216828478964401,0.7378640776699029,0.7508090614886731
dynamic,1,8,1,"tensor(29.6537, device='cuda:0')",0.23948220064724918,0.343042071197411,0.46601941747572817,0.5598705501618123,0.6051779935275081,0.6407766990291263,0.6601941747572816,0.686084142394822,0.7055016181229773,0.7152103559870551,0.7216828478964401,0.7378640776699029,0.7508090614886731
dynamic,1,8,30,"tensor(29.6537, device='cuda:0')",0.23948220064724918,0.343042071197411,0.46601941747572817,0.5598705501618123,0.6051779935275081,0.6407766990291263,0.6601941747572816,0.686084142394822,0.7055016181229773,0.7152103559870551,0.7216828478964401,0.7378640776699029,0.7508090614886731
dynamic,1,8,20,"tensor(29.6537, device='cuda:0')",0.23948220064724918,0.343042071197411,0.46601941747572817,0.5598705501618123,0.6051779935275081,0.6407766990291263,0.6601941747572816,0.686084142394822,0.7055016181229773,0.7152103559870551,0.7216828478964401,0.7378640776699029,0.7508090614886731
dynamic,1,8,5,"tensor(29.6537, device='cuda:0')",0.23948220064724918,0.343042071197411,0.46601941747572817,0.5598705501618123,0.6051779935275081,0.6407766990291263,0.6601941747572816,0.686084142394822,0.7055016181229773,0.7152103559870551,0.7216828478964401,0.7378640776699029,0.7508090614886731
total,1,8,10,"tensor(29.6537, device='cuda:0')",0.343042071197411,0.4336569579288026,0.5048543689320388,0.5598705501618123
total,1,8,1,"tensor(29.6537, device='cuda:0')",0.23948220064724918
total,1,8,2,"tensor(29.6537, device='cuda:0')",0.2815533980582524,0.343042071197411
total,1,8,30,"tensor(29.6537, device='cuda:0')",0.34951456310679613,0.44660194174757284,0.5048543689320388,0.5663430420711975,0.6084142394822006,0.6407766990291263
total,1,8,20,"tensor(29.6537, device='cuda:0')",0.343042071197411,0.4401294498381877,0.49838187702265374,0.5598705501618123,0.6051779935275081
total,1,8,5,"tensor(29.6537, device='cuda:0')",0.313915857605178,0.39158576051779936,0.46601941747572817
dynamic,1,8,40,"tensor(29.6537, device='cuda:0')",0.23948220064724918,0.343042071197411,0.46601941747572817,0.5598705501618123,0.6051779935275081,0.6407766990291263,0.6601941747572816,0.686084142394822,0.7055016181229773,0.7152103559870551,0.7216828478964401,0.7378640776699029,0.7508090614886731
dynamic,1,8,70,"tensor(29.6537, device='cuda:0')",0.23948220064724918,0.343042071197411,0.46601941747572817,0.5598705501618123,0.6051779935275081,0.6407766990291263,0.6601941747572816,0.686084142394822,0.7055016181229773,0.7152103559870551,0.7216828478964401,0.7378640776699029,0.7508090614886731
total,1,8,40,"tensor(29.6537, device='cuda:0')",0.34951456310679613,0.44660194174757284,0.5080906148867314,0.56957928802589,0.6116504854368932,0.6407766990291263,0.6601941747572816
dynamic,1,8,50,"tensor(29.6537, device='cuda:0')",0.23948220064724918,0.343042071197411,0.46601941747572817,0.5598705501618123,0.6051779935275081,0.6407766990291263,0.6601941747572816,0.686084142394822,0.7055016181229773,0.7152103559870551,0.7216828478964401,0.7378640776699029,0.7508090614886731
dynamic,1,8,60,"tensor(29.6537, device='cuda:0')",0.23948220064724918,0.343042071197411,0.46601941747572817,0.5598705501618123,0.6051779935275081,0.6407766990291263,0.6601941747572816,0.686084142394822,0.7055016181229773,0.7152103559870551,0.7216828478964401,0.7378640776699029,0.7508090614886731
dynamic,1,8,80,"tensor(29.6537, device='cuda:0')",0.23948220064724918,0.343042071197411,0.46601941747572817,0.5598705501618123,0.6051779935275081,0.6407766990291263,0.6601941747572816,0.686084142394822,0.7055016181229773,0.7152103559870551,0.7216828478964401,0.7378640776699029,0.7508090614886731
dynamic,1,8,90,"tensor(29.6537, device='cuda:0')",0.23948220064724918,0.343042071197411,0.46601941747572817,0.5598705501618123,0.6051779935275081,0.6407766990291263,0.6601941747572816,0.686084142394822,0.7055016181229773,0.7152103559870551,0.7216828478964401,0.7378640776699029,0.7508090614886731
total,1,8,70,"tensor(29.6537, device='cuda:0')",0.34951456310679613,0.44983818770226536,0.5145631067961165,0.5760517799352751,0.6148867313915858,0.6407766990291263,0.6666666666666666,0.6925566343042071,0.7055016181229773,0.7152103559870551
total,1,8,50,"tensor(29.6537, device='cuda:0')",0.34951456310679613,0.44660194174757284,0.5080906148867314,0.56957928802589,0.6084142394822006,0.6407766990291263,0.6601941747572816,0.686084142394822
total,1,8,60,"tensor(29.6537, device='cuda:0')",0.35275080906148865,0.44983818770226536,0.5145631067961165,0.5760517799352751,0.6148867313915858,0.6407766990291263,0.6666666666666666,0.6925566343042071,0.7055016181229773
